[2285 2474]
[2557 2906]
[3043 3086]
[3152 3278]
[3809 4103]
[4465 4564]
[5076 5189]
[5604 5875]
[6551 7106]
[7290 7394]
[8277 8390]
[8549 8826]
[12925 13867]
[14580 14741]
[16131 18430]
[19261 19778]
[19868 20207]
[22017 22079]
[22585 23132]
[23365 24344]
[24509 24618]
[24699 24847]
[27905 27991]
[28289 28382]
[29936 30074]
[34742 34776]
[35029 35486]
[37051 37348]
[37386 37466]
[37669 37935]
[38541 38626]
[38678 39058]
[39611 39710]
[40816 40853]
[41099 41210]
[43632 43695]
[44599 45431]
[45579 46703]
[51665 52741]
[53606 54304]
[54700 55034]
[55086 55462]
[56093 56236]
[57490 57638]
[59479 60066]
[60353 60566]
[62870 62944]
[63242 63661]
[64370 64414]
[67435 67506]
[67771 67870]
[69577 69658]
[69805 70198]
